target;NOMBRE_CELDA_DESTINO;source;NOMBRE_CELDA_ORIGEN;weight
001A;Montesinos, Los y Algorfa;023A;Almoradí;110
001A;Montesinos, Los y Algorfa;058A;Rojales;241
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);143
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;445
001V;Daimús y otros municipios;049V;Oliva y otros municipios;162
001V;Daimús y otros municipios;093V;Gandia (distrito 04);121
001V;Daimús y otros municipios;142V;Gandia (distrito 02);201
002A;Formentera del Segura y otros municipios;001A;Montesinos, Los y Algorfa;107
002A;Formentera del Segura y otros municipios;023A;Almoradí;363
002A;Formentera del Segura y otros municipios;058A;Rojales;1359
002V;Bellreguard y otros municipios;001V;Daimús y otros municipios;250
002V;Bellreguard y otros municipios;005V;Font d'En Carròs, la y otros municipios;136
002V;Bellreguard y otros municipios;049V;Oliva y otros municipios;667
002V;Bellreguard y otros municipios;142V;Gandia (distrito 02);131
003A;Bigastro y Jacarilla;021A;Orihuela (distrito 08) y Rafal;101
003A;Bigastro y Jacarilla;092A;Orihuela (distrito 06);107
003V;Gandia (distritos 01 y 03);001V;Daimús y otros municipios;400
003V;Gandia (distritos 01 y 03);002V;Bellreguard y otros municipios;358
003V;Gandia (distritos 01 y 03);004V;Vilallonga/Villalonga y Ador;129
003V;Gandia (distritos 01 y 03);005V;Font d'En Carròs, la y otros municipios;175
003V;Gandia (distritos 01 y 03);006V;Real de Gandía y otros municipios;406
003V;Gandia (distritos 01 y 03);049V;Oliva y otros municipios;370
003V;Gandia (distritos 01 y 03);051V;Gandia (distrito 07) y Benirredrà;331
003V;Gandia (distritos 01 y 03);075V;Gandia (distrito 06);817
003V;Gandia (distritos 01 y 03);089V;Gandia (distrito 05);816
003V;Gandia (distritos 01 y 03);093V;Gandia (distrito 04);525
003V;Gandia (distritos 01 y 03);107V;Tavernes de la Valldigna;122
003V;Gandia (distritos 01 y 03);142V;Gandia (distrito 02);1810
004A;Cox y otros municipios;005A;Albatera y San Isidro;522
004A;Cox y otros municipios;031A;Callosa de Segura;1138
004A;Cox y otros municipios;034A;Catral;142
004A;Cox y otros municipios;057A;Redován;246
004A;Cox y otros municipios;090A;Orihuela (distrito 04);126
004A;Cox y otros municipios;093A;Orihuela (distrito 07);170
004V;Vilallonga/Villalonga y Ador;005V;Font d'En Carròs, la y otros municipios;163
004V;Vilallonga/Villalonga y Ador;006V;Real de Gandía y otros municipios;155
005A;Albatera y San Isidro;004A;Cox y otros municipios;252
005A;Albatera y San Isidro;031A;Callosa de Segura;211
005A;Albatera y San Isidro;034A;Catral;102
005A;Albatera y San Isidro;036A;Crevillent;260
005V;Font d'En Carròs, la y otros municipios;004V;Vilallonga/Villalonga y Ador;244
005V;Font d'En Carròs, la y otros municipios;006V;Real de Gandía y otros municipios;355
005V;Font d'En Carròs, la y otros municipios;049V;Oliva y otros municipios;187
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;025A;Aspe;280
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;03MU;Abanilla;108
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;048A;Novelda;535
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;093A;Orihuela (distrito 07);134
006V;Real de Gandía y otros municipios;002V;Bellreguard y otros municipios;169
006V;Real de Gandía y otros municipios;003V;Gandia (distritos 01 y 03);173
006V;Real de Gandía y otros municipios;004V;Vilallonga/Villalonga y Ador;281
006V;Real de Gandía y otros municipios;005V;Font d'En Carròs, la y otros municipios;272
006V;Real de Gandía y otros municipios;049V;Oliva y otros municipios;165
006V;Real de Gandía y otros municipios;051V;Gandia (distrito 07) y Benirredrà;348
006V;Real de Gandía y otros municipios;075V;Gandia (distrito 06);1080
006V;Real de Gandía y otros municipios;089V;Gandia (distrito 05);172
006V;Real de Gandía y otros municipios;142V;Gandia (distrito 02);200
007A;Sax y Salinas;008A;Elda (distritos 02 y 03);102
007A;Sax y Salinas;054A;Petrer;311
007A;Sax y Salinas;064A;Villena;260
007A;Sax y Salinas;085A;Elda (distrito 04);222
007V;Simat de la Valldigna y Benifairó de la Valldigna;107V;Tavernes de la Valldigna;249
008A;Elda (distritos 02 y 03);007A;Sax y Salinas;149
008A;Elda (distritos 02 y 03);046A;Monóvar/Monòver;535
008A;Elda (distritos 02 y 03);048A;Novelda;139
008A;Elda (distritos 02 y 03);054A;Petrer;1381
008A;Elda (distritos 02 y 03);064A;Villena;127
008A;Elda (distritos 02 y 03);084A;Elda (distrito 01);978
008A;Elda (distritos 02 y 03);085A;Elda (distrito 04);3295
008A;Elda (distritos 02 y 03);086A;Elda (distrito 05);658
008V;Manuel y otros municipios;009V;Pobla Llarga, la y otros municipios;267
008V;Manuel y otros municipios;062V;Villanueva de Castellón;128
009V;Pobla Llarga, la y otros municipios;008V;Manuel y otros municipios;245
009V;Pobla Llarga, la y otros municipios;062V;Villanueva de Castellón;417
009V;Pobla Llarga, la y otros municipios;123V;Carcaixent;138
010A;Biar y otros municipios;026A;Banyeres de Mariola;159
010A;Biar y otros municipios;064A;Villena;378
010V;Genovés y otros municipios;008V;Manuel y otros municipios;243
010V;Genovés y otros municipios;056V;Benigànim;106
010V;Genovés y otros municipios;151V;Xàtiva;164
011A;Busot y otros municipios;032A;Campello, el;116
011A;Busot y otros municipios;063A;Villajoyosa/Vila Joiosa, la;249
011V;Llutxent y otros municipios;007V;Simat de la Valldigna y Benifairó de la Valldigna;255
012A;Alcoy/Alcoi (distrito 08) y Benifallim;013A;Benilloba y otros municipios;202
012A;Alcoy/Alcoi (distrito 08) y Benifallim;015A;Muro de Alcoy y otros municipios;262
012A;Alcoy/Alcoi (distrito 08) y Benifallim;035A;Cocentaina;518
012A;Alcoy/Alcoi (distrito 08) y Benifallim;042A;Ibi;168
012A;Alcoy/Alcoi (distrito 08) y Benifallim;066A;Alcoy/Alcoi (distrito 01);383
012A;Alcoy/Alcoi (distrito 08) y Benifallim;067A;Alcoy/Alcoi (distrito 02);1226
012A;Alcoy/Alcoi (distrito 08) y Benifallim;068A;Alcoy/Alcoi (distrito 03);2858
