id,name,X,Y
001A,"Montesinos, Los y Algorfa",-0.7772286884,38.04168827
001V,Daimús y otros municipios,-0.1441640456,38.96414774
002A,Formentera del Segura y otros municipios,-0.7472280906,38.09734464
002V,Bellreguard y otros municipios,-0.1398005664,38.94740115
003A,Bigastro y Jacarilla,-0.86267705,38.05100715
003V,Gandia (distritos 01 y 03),-0.169091441,38.96236958
004A,Cox y otros municipios,-0.927179793,38.14864673
004V,Vilallonga/Villalonga y Ador,-0.2306097893,38.89140514
005A,Albatera y San Isidro,-0.8841291894,38.20927394
005V,"Font d'En Carròs, la y otros municipios",-0.1704531028,38.91521797
006A,"Fondó de les Neus, el/Hondón de las Nieves y otros municipios",-0.9161794938,38.32335855
006V,Real de Gandía y otros municipios,-0.2193267807,38.94485566
007A,Sax y Salinas,-0.8612280778,38.52845563
007V,Simat de la Valldigna y Benifairó de la Valldigna,-0.3268864348,39.04897425
008A,Elda (distritos 02 y 03),-0.8235711944,38.4748138
008V,Manuel y otros municipios,-0.4561822442,39.04893783
009A,Agost y Tibi,-0.6173323042,38.48302483
009V,"Pobla Llarga, la y otros municipios",-0.479522787,39.07784182
010A,Biar y otros municipios,-0.7654396813,38.6720655
010V,Genovés y otros municipios,-0.4380536567,39.00380206
011A,Busot y otros municipios,-0.3503991949,38.54563346
011V,Llutxent y otros municipios,-0.3530341014,38.96849018
012A,Alcoy/Alcoi (distrito 08) y Benifallim,-0.5074881276,38.67915649
012V,Xeraco y Xeresa,-0.2274634097,39.02601998
013A,Benilloba y otros municipios,-0.2880601529,38.67368864
013V,Corbera y otros municipios,-0.3343122698,39.14940343
014A,Beniarrés y otros municipios,-0.2798785827,38.80656444
014V,Albalat de la Ribera y otros municipios,-0.3663506357,39.20504765
015A,Muro de Alcoy y otros municipios,-0.4982351229,38.78587466
015V,Albal y Beniparrell,-0.4162542368,39.38945734
016A,"Verger, el y Poblets, els",0.002231783479,38.85190182
016V,Riba-roja de Túria y Loriguilla,-0.7773396566,39.582609
017A,Beniarbeig y otros municipios,-0.04037069577,38.81332288
017V,Bonrepòs i Mirambell y otros municipios,-0.3738302813,39.53288667
018A,Xaló y otros municipios,-0.0148756749,38.7269954
018V,Albuixech y otros municipios,-0.3305563913,39.54834441
019A,Orba y otros municipios,-0.1011754402,38.74068407
019V,Serra y otros municipios,-0.5072356441,39.70875889
020A,"Teulada y Benitachell/Poble Nou de Benitatxell, el",0.1242585427,38.71542339
020V,Sagunto/Sagunt (distrito 01) y otros municipios,-0.3085281706,39.69801137
021A,Orihuela (distrito 08) y Rafal,-0.9061738668,38.10477907
021V,Benifairó de les Valls y otros municipios,-0.2671097657,39.7355718
022A,"Alfàs del Pi, l'",-0.08933190386,38.57913001
022V,"Sagunto/Sagunt (distritos 04, 05 y 08)",-0.2397943238,39.69323514
023A,Almoradí,-0.7954736722,38.09948073
023V,Estivella y otros municipios,-0.3692876361,39.72650346
024A,Altea,-0.04738476812,38.62555069
024V,Pedralba y otros municipios,-0.8639075139,39.5749588
025A,Aspe,-0.7852882528,38.32951909
025V,Villar del Arzobispo y otros municipios,-0.7908442727,39.70453338
026A,Banyeres de Mariola,-0.6778756284,38.70548939
027A,Benejúzar,-0.8321374506,38.0732382
027V,Chelva y otros municipios,-1.014985086,39.81267363
028A,Benissa,0.03808639347,38.69228956
028V,Venta del Moro y otros municipios,-1.388598796,39.51508592
029A,Calp,0.04432843139,38.65274265
029V,Chiva y Godelleta,-0.7290468263,39.47710691
02CS,Traiguera y otros municipios,0.2424274911,40.56548942
030A,Callosa d'en Sarrià,-0.1042624767,38.65329567
030V,Catadau y otros municipios,-0.642753661,39.20214926
031A,Callosa de Segura,-0.8711065001,38.13409321
031V,Llombai y otros municipios,-0.5831315076,39.29600261
032A,"Campello, el",-0.372638846,38.46243474
032V,Yátova y otros municipios,-0.8213462384,39.3316799
033A,Castalla,-0.6706238127,38.56793964
033V,Cofrentes y otros municipios,-0.9959337296,39.19747466
034A,Catral,-0.7975764273,38.15215935
034V,Navarrés y otros municipios,-0.7964041114,39.09921283
035A,Cocentaina,-0.4470092866,38.7373824
035V,Alcàntera de Xúquer y otros municipios,-0.6012820455,39.08856999
036A,Crevillent,-0.8143438072,38.23449016
036V,Anna y otros municipios,-0.6178241344,39.0307479
037A,Dénia,0.07981059072,38.82381447
037V,"Llosa de Ranes, la y otros municipios",-0.5674671058,39.00623916
038A,Dolores,-0.7548551853,38.13893722
038V,Enguera y Chella,-0.7934138159,38.97547609
039A,Finestrat,-0.203216509,38.5739781
039V,Mogente/Moixent y otros municipios,-0.8207633528,38.83347114
03CS,Càlig y otros municipios,0.2582584074,40.43864697
040A,Gata de Gorgos,0.06983379792,38.76806507
040V,Aielo de Malferit y otros municipios,-0.6559429464,38.91136298
041A,Guardamar del Segura,-0.6688714118,38.08096565
041V,Albaida y otros municipios,-0.5349110903,38.84279352
042A,Ibi,-0.5632117157,38.62489231
042V,Rótova y otros municipios,-0.3046056291,38.90929566
043A,Jávea/Xàbia,0.1633080434,38.76755294
043V,"Pobla del Duc, la y otros municipios",-0.4117207937,38.87581747
044A,Jijona/Xixona,-0.4896157315,38.55108877
044V,Montaverner y otros municipios,-0.4841768076,38.88308889
045A,Monforte del Cid,-0.6950011677,38.38495596
045V,Montserrat y Montroi/Montroy,-0.6120431891,39.35076443
046A,Monóvar/Monòver,-0.9124530493,38.42854672
046V,Alfafar y Llocnou de la Corona,-0.361781456,39.4031068
047A,Mutxamel,-0.4749486602,38.43445657
047V,Llíria y otros municipios,-0.719727698,39.69224479
048A,Novelda,-0.7861064158,38.39424109
048V,Museros y Emperador,-0.3593247467,39.57438023
049A,"Nucia, la",-0.1204951047,38.60083039
049V,Oliva y otros municipios,-0.108066333,38.89914934
050A,Ondara,0.01504382197,38.82696682
050V,Alberic y otros municipios,-0.5289073074,39.12732104
051A,Onil,-0.6612349151,38.63333154
051V,Gandia (distrito 07) y Benirredrà,-0.2390009801,38.98190056
052A,Pedreguer,0.03146569112,38.79345926
052V,Bocairent,-0.608866994,38.74208598
053A,Pego,-0.09997822059,38.84366711
053V,Sollana,-0.3771191597,39.28133496
054A,Petrer,-0.7316416576,38.49214507
054V,"Alcúdia de Crespins, l'",-0.6046440881,38.97145263
055A,"Pinós, el/Pinoso",-1.029057568,38.41230556
055V,Ayora,-1.074281755,39.01887759
056A,Polop,-0.1524349091,38.62079289
056V,Benigànim,-0.4458240783,38.95469228
057A,Redován,-0.9215173256,38.1222686
057V,Guadassuar,-0.5309602027,39.18198831
058A,Rojales,-0.7188528905,38.07397884
058V,Náquera,-0.4137792591,39.63704285
059A,San Fulgencio,-0.6935253089,38.12558404
059V,Valencia (SCD Poblats del Nord),-0.3713556731,39.53197765
05CS,Cabanes y otros municipios,0.04907532366,40.19306615
060A,Sant Joan d'Alacant,-0.4287030725,38.40434845
060V,Canet d'En Berenguer,-0.2167513099,39.68076441
061A,San Miguel de Salinas,-0.8031112789,37.9748402
061V,Turís,-0.6867506099,39.37361577
062A,Santa Pola,-0.5769904698,38.20369044
062V,Villanueva de Castellón,-0.5203013484,39.07337211
063A,"Villajoyosa/Vila Joiosa, la",-0.2515649545,38.52102867
063V,Rocafort,-0.41298999,39.53570504
064A,Villena,-0.9139149129,38.63401491
064V,Almàssera,-0.3502691786,39.51413631
065A,Pilar de la Horadada,-0.8295516374,37.89981432
065V,Foios,-0.3604781832,39.54514534
066A,Alcoy/Alcoi (distrito 01),-0.4725149465,38.69815365
066V,"Pobla de Farnals, la",-0.310095028,39.57270194
067A,Alcoy/Alcoi (distrito 02),-0.475404977,38.68872364
067V,"Olleria, l'",-0.5449683716,38.91461134
068A,Alcoy/Alcoi (distrito 03),-0.4903008565,38.69017986
068V,Cheste,-0.6775516485,39.50856884
069A,Alcoy/Alcoi (distrito 04),-0.4832081706,38.69605825
069V,"Puig de Santa Maria, el",-0.3204953713,39.59894476
06CS,Vall d'Alba y otros municipios,-0.09252287674,40.15614933
070A,Alcoy/Alcoi (distrito 05),-0.481924946,38.70258568
070V,San Antonio de Benagéber,-0.4969848068,39.56365566
071A,Alcoy/Alcoi (distrito 06),-0.4770706764,38.70338922
071V,Rafelbunyol,-0.3479935236,39.59518027
072A,Alcoy/Alcoi (distrito 07),-0.4691372054,38.70601531
072V,Almussafes,-0.4114614969,39.29700577
073A,Benidorm (distrito 01),-0.1307398497,38.53572327
073V,Tavernes Blanques,-0.3642192373,39.50740057
074A,Benidorm (distrito 02),-0.09603342333,38.54421275
074V,Torrent (distrito 02),-0.4647388058,39.43241155
075A,Benidorm (distrito 03),-0.1174102042,38.55817686
075V,Gandia (distrito 06),-0.1875053217,38.96010232
076A,Benidorm (distrito 04),-0.156096089,38.5616887
076V,Buñol,-0.8485081904,39.4291047
077A,Elche/Elx (distrito 01),-0.6847181332,38.27337547
077V,Massanassa,-0.3725860648,39.39728213
078A,Elche/Elx (distrito 02),-0.6818922253,38.26335932
078V,Vilamarxant,-0.6554983174,39.56020823
079A,Elche/Elx (distrito 03),-0.7131043189,38.27831202
079V,Alcàsser,-0.4471577822,39.38108669
